h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e8052bceffff,17968.0,174.0,4721.0,135.0
8a1e8052bcf7fff,17870.0,164.5,4480.5,124.0
8a1e8052bd07fff,17953.2,170.2,4624.6,128.0
8a1e8052bd0ffff,17978.1,170.1,4655.7,128.5
8a1e8052bd17fff,17895.0,165.0,4478.0,122.0
8a1e8052bd1ffff,17945.0,169.0,4578.25,126.0
8a1e8052bd27fff,17897.666666666668,165.0,4464.666666666667,121.0
8a1e8052bd2ffff,17959.6,169.8,4633.6,128.4
8a1e8052bd37fff,17672.0,149.5,4073.5,108.25
8a1e8052bd47fff,17935.5,168.0,4566.75,125.75
8a1e8052bd4ffff,17795.666666666668,157.0,4250.0,113.0
8a1e8052bd57fff,17977.7,171.3,4677.6,130.0
8a1e8052bd5ffff,17933.5,168.0,4550.0,125.0
8a1e8052bd67fff,17867.0,162.0,4347.0,116.0
8a1e8052bd6ffff,17915.444444444445,166.66666666666666,4523.333333333333,123.66666666666667
8a1e8052bd87fff,17555.0,151.0,4067.0,107.0
8a1e8052bd8ffff,17108.0,132.0,3614.0,92.0
8a1e8052bd97fff,17626.777777777777,154.33333333333334,4191.666666666667,110.0
8a1e8052bd9ffff,17553.333333333332,151.0,4088.3333333333335,108.33333333333333
8a1e8052bdb7fff,17463.333333333332,146.66666666666666,3936.0,103.66666666666667
8a1e8052c067fff,17173.5,123.0,3484.0,88.5
8a1e8052c08ffff,17577.0,139.0,3774.0,101.0
8a1e8052c0affff,17481.5,129.5,3644.5,95.5
8a1e8052c0c7fff,17416.0,133.0,3666.0,97.66666666666667
8a1e8052c0dffff,17642.0,149.0,3986.0,109.0
8a1e8052c0f7fff,17433.0,128.0,3588.0,92.0
8a1e8052c107fff,16861.0,106.0,3036.0,70.0
8a1e8052c117fff,16872.25,108.25,3094.375,74.0
8a1e8052c127fff,16982.0,111.0,3214.0,81.0
8a1e8052c12ffff,16938.0,110.0,3199.25,79.0
8a1e8052c137fff,16793.0,105.0,2985.0,68.0
8a1e8052c187fff,17195.0,125.0,3512.0,89.0
8a1e8052c19ffff,17334.5,129.0,3647.0,99.0
8a1e8052c1a7fff,16962.0,111.5,3160.1666666666665,75.16666666666667
8a1e8052c1b7fff,16913.090909090908,109.63636363636364,3143.4545454545455,74.72727272727273
8a1e8052c207fff,16751.5,116.5,3314.5,87.5
8a1e8052c217fff,17617.0,144.0,3929.0,105.0
8a1e8052c21ffff,17618.0,144.0,3930.0,105.0
8a1e8052c26ffff,17079.777777777777,126.0,3516.777777777778,96.22222222222223
8a1e8052c287fff,17000.0,121.0,3324.0,89.0
8a1e8052c297fff,17730.0,153.0,4166.0,117.0
8a1e8052c2a7fff,17649.0,149.0,4001.0,109.0
8a1e8052c2c7fff,17647.0,147.0,3987.0,108.0
8a1e8052c2cffff,17555.0,137.0,3812.0,101.0
8a1e8052c2d7fff,17639.0,147.0,3977.0,108.0
8a1e8052c2dffff,17718.0,153.0,4135.0,115.0
8a1e8052c2f7fff,17726.0,153.0,4153.0,116.5
8a1e8052c307fff,16941.0,113.0,3294.0,84.0
8a1e8052c327fff,17135.0,122.0,3459.6666666666665,88.0
8a1e8052c32ffff,16923.0,113.0,3286.0,85.0
8a1e8052c36ffff,17099.0,126.0,3529.0,97.0
8a1e8052c377fff,16734.0,104.0,3175.0,81.0
8a1e8052c38ffff,17645.5,147.0,3988.0,108.0
8a1e8052c3affff,17610.0,144.0,3917.0,104.0
8a1e8052c417fff,17677.0,150.0,4021.0,107.0
8a1e8052c427fff,17386.6,128.8,3682.8,99.2
8a1e8052c42ffff,17383.666666666668,129.0,3677.0,99.33333333333333
8a1e8052c447fff,17203.0,124.0,3510.0,87.0
8a1e8052c45ffff,17168.0,121.0,3441.0,84.0
8a1e8052c467fff,17084.0,117.0,3341.0,82.0
8a1e8052c477fff,17220.0,124.0,3514.0,91.0
8a1e8052c487fff,17752.5,156.25,4221.0,117.25
8a1e8052c497fff,17766.0,158.5,4251.0,117.5
8a1e8052c49ffff,17721.0,154.0,4136.0,114.0
8a1e8052c4a7fff,17706.0,152.0,4122.0,112.5
8a1e8052c4affff,17654.0,146.0,3942.0,106.0
8a1e8052c4b7fff,17738.0,155.0,4182.5,114.0
8a1e8052c4d7fff,17728.5,153.0,4171.0,116.0
8a1e8052c4dffff,17601.0,143.0,3893.0,105.0
8a1e8052c4effff,17123.5,118.0,3368.0,80.5
8a1e8052c4f7fff,17652.6,146.6,3958.2,106.2
8a1e8052c507fff,17413.555555555555,132.44444444444446,3736.0,100.77777777777777
8a1e8052c50ffff,17412.0,133.0,3738.4,101.0
8a1e8052c517fff,17380.0,128.0,3653.0,99.0
8a1e8052c527fff,17340.0,126.0,3600.0,98.0
8a1e8052c52ffff,17093.25,117.0,3353.0,85.25
8a1e8052c537fff,17243.0,125.0,3493.0,90.0
8a1e8052c547fff,17322.0,126.0,3585.0,97.0
8a1e8052c54ffff,17357.5,127.0,3634.5,98.0
8a1e8052c557fff,17398.833333333332,130.66666666666666,3710.1666666666665,99.83333333333333
8a1e8052c567fff,16887.0,106.66666666666667,3142.0,76.66666666666667
8a1e8052c56ffff,17032.333333333332,116.33333333333333,3326.6666666666665,84.66666666666667
8a1e8052c587fff,17603.0,145.0,3937.0,106.0
8a1e8052c58ffff,17653.5,145.0,3966.0,105.5
8a1e8052c597fff,17581.875,140.25,3817.125,103.5
8a1e8052c59ffff,17565.75,142.25,3816.75,104.0
8a1e8052c5a7fff,17565.0,141.0,3997.0,108.0
8a1e8052c5b7fff,17538.0,142.0,3831.0,104.0
8a1e8052c607fff,16922.0,114.0,3110.0,81.0
8a1e8052c60ffff,17810.833333333332,159.66666666666666,4379.0,125.41666666666667
8a1e8052c617fff,17740.0,154.5,4217.5,119.0
8a1e8052c61ffff,17826.875,160.625,4405.3125,126.6875
8a1e8052c62ffff,17608.0,144.0,3910.0,104.0
8a1e8052c637fff,17698.5,152.0,4108.5,114.0
8a1e8052c647fff,17772.5,156.75,4286.5,120.75
8a1e8052c667fff,17587.0,146.2,4002.2,111.6
8a1e8052c66ffff,17740.85714285714,153.14285714285714,4210.428571428572,118.28571428571429
8a1e8052c687fff,17665.0,148.0,4083.0,114.0
8a1e8052c68ffff,17644.333333333332,146.33333333333334,4024.3333333333335,111.0
8a1e8052c697fff,17622.0,142.0,3993.0,111.0
8a1e8052c69ffff,17675.0,149.5,4102.75,113.75
8a1e8052c6a7fff,17781.6,158.0,4323.2,122.8
8a1e8052c6affff,17835.8,161.2,4423.4,126.8
8a1e8052c6c7fff,17405.0,135.0,3804.0,101.5
8a1e8052c6d7fff,17516.75,136.0,3869.0,104.0
8a1e8052c6e7fff,17641.0,150.0,4130.666666666667,115.33333333333333
8a1e8052c6effff,17710.0,152.0,4140.0,115.0
8a1e8052c6f7fff,17261.0,130.0,3590.0,95.0
8a1e8052c70ffff,17668.0,150.0,4027.4,110.0
8a1e8052c727fff,17643.333333333332,148.33333333333334,3983.3333333333335,108.0
8a1e8052c757fff,17327.0,127.0,3579.0,92.0
8a1e8052c76ffff,17141.0,121.0,3358.0,89.0
8a1e8052c777fff,17622.85714285714,146.71428571428572,3941.8571428571427,106.85714285714286
8a1e8052c79ffff,17523.0,134.66666666666666,3739.0,99.0
8a1e8052c807fff,14208.666666666666,94.66666666666667,2776.3333333333335,82.66666666666667
8a1e8052c817fff,16899.25,109.25,3150.75,78.5
8a1e8052c827fff,15006.875,95.625,2825.125,77.75
8a1e8052c82ffff,14739.0,95.6,2832.0,82.8
8a1e8052c837fff,14790.0,94.0,2828.0,75.5
8a1e8052c847fff,10007.0,59.0,2010.0,57.0
8a1e8052c88ffff,15339.666666666666,99.83333333333333,2965.1666666666665,74.83333333333333
8a1e8052c897fff,16870.0,106.0,3081.0,72.5
8a1e8052c8a7fff,16744.0,101.0,3012.0,71.0
8a1e8052c8affff,15097.0,98.0,2923.5,75.75
8a1e8052c8b7fff,16548.75,99.5,2909.75,70.0
8a1e8052c8f7fff,8663.0,55.0,1941.0,61.0
8a1e8052c907fff,16588.0,111.0,3243.0,91.0
8a1e8052c90ffff,15527.5,104.0,3078.0,91.0
8a1e8052c917fff,14697.0,97.0,2756.0,80.0
8a1e8052c91ffff,15972.5,99.0,2944.0,82.5
8a1e8052c927fff,16445.25,108.5,3097.25,87.0
8a1e8052c92ffff,15639.5,104.66666666666667,3073.8333333333335,89.66666666666667
8a1e8052c947fff,15107.0,99.0,2991.0,89.0
8a1e8052c94ffff,14362.0,94.0,2875.0,88.0
8a1e8052c957fff,10621.0,65.0,2143.0,60.0
8a1e8052c95ffff,12708.0,83.0,2515.0,76.0
8a1e8052c977fff,15742.0,106.0,3087.0,91.0
8a1e8052c98ffff,16562.0,99.0,2930.0,70.0
8a1e8052c9a7fff,16215.333333333334,100.0,2981.3333333333335,82.0
8a1e8052c9affff,16367.0,99.8,3015.2,82.4
8a1e8052ca57fff,15439.0,85.0,2620.0,67.0
8a1e8052cad7fff,17017.0,116.5,3365.5,86.5
8a1e8052caf7fff,1803.0,20.0,750.0,23.0
8a1e8052cb1ffff,14857.0,88.0,2777.0,79.0
8a1e8052cc0ffff,10592.0,58.0,1764.0,38.0
8a1e8052cc17fff,16813.0,109.0,3123.0,76.0
8a1e8052cc37fff,16482.5,101.0,2935.0,72.0
8a1e8052cc47fff,16407.0,97.0,2820.0,63.0
8a1e8052cc4ffff,16664.8,98.4,2914.2,66.0
8a1e8052cc67fff,15852.0,89.0,2579.0,64.0
8a1e8052cc87fff,17245.0,125.5,3518.0,91.0
8a1e8052cc8ffff,5649.666666666667,36.666666666666664,1036.0,24.666666666666668
8a1e8052cc97fff,17321.0,126.0,3556.0,95.0
8a1e8052cca7fff,17169.0,122.0,3419.5,83.5
8a1e8052ccaffff,17147.0,120.0,3356.0,80.0
8a1e8052ccb7fff,17222.0,126.0,3503.0,89.0
8a1e8052cccffff,12895.75,92.33333333333333,2612.75,66.08333333333333
8a1e8052ccdffff,17221.0,127.0,3546.0,89.0
8a1e8052cceffff,0.0,0.0,0.0,0.0
8a1e8052cd07fff,16853.0,117.0,3284.0,90.0
8a1e8052cd0ffff,16435.666666666668,104.66666666666667,2985.0,79.66666666666667
8a1e8052cd17fff,17002.5,120.5,3367.0,87.5
8a1e8052cd1ffff,16584.0,110.66666666666667,3103.0,81.66666666666667
8a1e8052cd27fff,16659.0,110.5,3144.0,85.0
8a1e8052cd2ffff,16648.666666666668,110.33333333333333,3126.3333333333335,82.66666666666667
8a1e8052cd37fff,16937.0,121.0,3368.0,90.0
8a1e8052cd4ffff,16308.0,93.5,2783.0,67.0
8a1e8052cd87fff,17055.0,119.0,3369.0,86.0
8a1e8052cd8ffff,17044.25,119.5,3336.25,84.25
8a1e8052cd97fff,16910.0,109.0,3119.0,74.0
8a1e8052cd9ffff,17136.333333333332,122.66666666666667,3409.0,84.66666666666667
8a1e8052cda7fff,16807.75,120.5,3330.25,88.0
8a1e8052cdaffff,16866.0,114.0,3225.0,84.0
8a1e8052cdb7fff,17202.0,128.0,3544.0,94.0
8a1e8052d007fff,13856.0,88.0,2759.0,70.0
8a1e8052d00ffff,14497.333333333334,96.33333333333333,2902.6666666666665,73.0
8a1e8052d017fff,14319.125,94.5,2847.125,71.75
8a1e8052d01ffff,14171.8,92.0,2843.4,70.8
8a1e8052d02ffff,12151.5,78.5,2574.6666666666665,63.5
8a1e8052d037fff,13365.0,84.5,2701.5,67.5
8a1e8052d047fff,13771.0,87.0,2762.5,69.0
8a1e8052d04ffff,13844.333333333334,86.66666666666667,2766.0,69.0
8a1e8052d057fff,14569.0,97.0,2921.0,74.0
8a1e8052d067fff,12162.5,77.5,2598.25,63.75
8a1e8052d077fff,12780.0,82.5,2647.5,66.5
8a1e8052d097fff,16566.0,111.0,3212.0,84.0
8a1e8052d0a7fff,14273.833333333334,93.5,2850.3333333333335,71.16666666666667
8a1e8052d0affff,14529.75,96.5,2927.25,73.25
8a1e8052d0c7fff,14850.0,100.0,3014.0,77.0
8a1e8052d0cffff,15249.0,103.0,3093.5,77.0
8a1e8052d0effff,14866.666666666666,100.66666666666667,3006.0,76.66666666666667
8a1e8052d0f7fff,14644.25,98.0,2964.75,75.0
8a1e8052d107fff,13412.625,78.5,2723.125,65.875
8a1e8052d10ffff,12947.714285714286,77.57142857142857,2668.285714285714,64.57142857142857
8a1e8052d117fff,13001.555555555555,78.55555555555556,2649.4444444444443,63.44444444444444
8a1e8052d11ffff,13149.0,80.0,2721.0,65.5
8a1e8052d127fff,12232.0,72.0,2540.0,62.5
8a1e8052d147fff,10567.666666666666,70.0,2373.6666666666665,61.333333333333336
8a1e8052d14ffff,12242.5,78.25,2611.5,64.25
8a1e8052d157fff,12655.09090909091,77.72727272727273,2651.818181818182,64.36363636363636
8a1e8052d15ffff,12214.0,76.8,2600.9,63.8
8a1e8052d167fff,9870.333333333334,65.16666666666667,2304.5,59.333333333333336
8a1e8052d16ffff,9326.5,63.5,2252.25,56.5
8a1e8052d177fff,8739.0,60.0,2177.0,54.0
8a1e8052d187fff,14228.0,90.0,2856.0,71.0
8a1e8052d18ffff,13733.181818181818,89.18181818181819,2772.6363636363635,69.72727272727273
8a1e8052d197fff,15561.0,106.0,3196.0,80.0
8a1e8052d19ffff,14187.0,93.0,2852.0,71.0
8a1e8052d1a7fff,13130.0,75.0,2653.0,65.0
8a1e8052d1affff,12930.5,82.0,2648.5,65.5
8a1e8052d1b7fff,12998.5,81.5,2690.0,66.25
8a1e8052d207fff,16622.333333333332,124.0,3521.3333333333335,91.0
8a1e8052d20ffff,16945.0,130.5,3760.5,95.5
8a1e8052d217fff,15397.57142857143,104.57142857142857,3093.5714285714284,77.42857142857143
8a1e8052d227fff,14924.5,99.5,3017.5,76.5
8a1e8052d22ffff,14944.25,100.5,3016.0,76.75
8a1e8052d237fff,15583.6,111.8,3216.8,81.4
8a1e8052d247fff,16455.4,125.0,3548.0,91.4
8a1e8052d24ffff,15862.857142857143,120.28571428571429,3390.1428571428573,85.42857142857143
8a1e8052d257fff,16770.0,129.0,3676.5,94.0
8a1e8052d25ffff,16564.666666666668,125.66666666666667,3601.6666666666665,93.33333333333333
8a1e8052d267fff,16335.0,124.0,3495.2,90.0
8a1e8052d26ffff,15639.0,114.0,3244.0,82.0
8a1e8052d277fff,16188.0,119.0,3437.3333333333335,87.66666666666667
8a1e8052d287fff,11870.0,86.25,2427.0,62.25
8a1e8052d28ffff,16578.666666666668,123.66666666666667,3487.0,89.66666666666667
8a1e8052d297fff,15921.0,111.5,3264.25,82.5
8a1e8052d29ffff,16518.5,122.5,3475.75,90.5
8a1e8052d2a7fff,15398.333333333334,105.5,3081.3333333333335,77.33333333333333
8a1e8052d2affff,15395.0,107.0,3102.6666666666665,80.0
8a1e8052d2b7fff,15984.0,118.3076923076923,3303.923076923077,84.6923076923077
8a1e8052d2c7fff,17256.75,139.875,3940.25,103.5
8a1e8052d2cffff,16473.5,125.5,3534.5,91.5
8a1e8052d2d7fff,17235.5,139.0,3936.5,103.0
8a1e8052d2dffff,17286.2,143.0,3975.4,106.2
