h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e8042102ffff,163.0,7.0,225.0,0.0
8a1e8042104ffff,75.5,7.0,158.5,4.0
8a1e80421077fff,45.0,2.0,98.0,0.0
8a1e80421087fff,7.0,0.0,24.0,0.0
8a1e804210dffff,140.0,7.0,232.0,3.0
8a1e804210e7fff,56.0,4.0,130.0,0.0
8a1e804210effff,123.0,7.0,208.0,3.5
8a1e80421107fff,236.0,12.0,341.25,0.0
8a1e8042111ffff,158.0,7.0,221.0,0.0
8a1e80421127fff,221.5,10.5,313.5,0.0
8a1e8042112ffff,182.0,8.0,281.0,0.0
8a1e80421157fff,195.5,9.0,278.0,0.0
8a1e80421247fff,54.0,5.0,133.0,4.0
8a1e8042124ffff,89.0,7.0,163.0,4.0
8a1e8042126ffff,40.0,4.5,93.5,3.5
8a1e80421297fff,27.0,2.0,72.5,1.0
8a1e80421317fff,66.0,5.5,145.75,4.0
8a1e8042131ffff,46.0,3.0,105.0,3.0
8a1e8042134ffff,65.0,5.0,146.0,4.0
8a1e8042135ffff,68.0,6.0,149.0,4.0
8a1e804213affff,47.0,3.0,110.0,3.0
8a1e8042145ffff,0.0,0.0,0.0,0.0
8a1e80421507fff,14.0,0.0,40.0,0.0
8a1e80421527fff,31.0,1.0,71.0,0.0
8a1e8042152ffff,26.0,1.0,59.0,0.0
8a1e80421537fff,28.0,1.0,60.0,0.0
8a1e8042161ffff,7.0,0.0,39.0,0.0
8a1e80421647fff,52.666666666666664,3.0,126.0,0.0
8a1e80421667fff,38.5,2.75,95.25,0.5
8a1e80421677fff,57.333333333333336,4.333333333333333,145.66666666666666,0.0
8a1e80421687fff,3.0,0.0,25.0,0.0
8a1e804216effff,1.0,0.0,6.0,0.0
8a1e8042170ffff,52.75,2.75,129.25,0.0
8a1e8042171ffff,23.0,1.0,74.0,0.0
8a1e8042172ffff,45.2,1.6,117.4,0.0
8a1e80421737fff,6.0,0.0,20.0,0.0
8a1e80421747fff,78.0,6.0,162.0,0.0
8a1e80421757fff,58.0,5.0,153.0,0.0
8a1e80421767fff,159.33333333333334,7.333333333333333,250.33333333333334,3.0
